"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","Three Barrels Rare Old French Brandy VSOP, 70cl","4.7 out of 5 stars","Verified Purchase","Amazon Customer","Have used Kaspersky security year on year and my devices have had perfect protection. Great value for money and easy to install using the code purchased, never experienced any problems.","Reviewed in the United Kingdom on 9 January 2024"
"2","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","BJ","Always get it from Amazon. Never auto renewal or purchase directly from Kaspersky as they always charge you more","Reviewed in the United Kingdom on 16 December 2023"
"3","Three Barrels Rare Old French Brandy VSOP, 70cl","3.0 out of 5 stars","Verified Purchase","Amazon Customer","Kaspersky total security is my favourite of the all in one security packages and this is my 4th year using it. Always uninstall and buy digitally from amazon - it’s about 1/3 the price of renewing.Not much has changed this year - same great product with a slightly (very slightly) updated user interface. New this year so far seems to be an improved software updater that’s a nice touch.Reason I use this is that It regularly scores highest on malware tests, and as a bonus comes with actually useful tools like webcam blocker, the update checker, privacy and security optimisation browser plug-ins and such, and is very light on system resources - I don’t need to turn it off to game for example. I’ve bought a couple of computers that have come with trials of norton or trend micro and the just feel sub par by comparison.Minus 1 star from a perfect 5 for continuing to bundle kaspersky’s overpriced VPN software trial, and dumb region locking. The VPN can be removed post install by searching ‘add or remove programs’, but the region locking seemed particularly lazy.I didn’t notice when I bought this that it was UK only - that’s my bad, it says right on the page - but kaspersky’s enforcement is very lazy. I’m currently in Australia, but bought from the UK as my kaspersky account and payment card are still UK-based. It let me activate that serial fine (so no refund possibility) but then wouldn’t activate the software once downloaded even though the last one worked fine until the day before lol. They know my account, my history, my hardware, etc. it should work better. However all good as activated fine when using a VPN and no problems since with the VPN turned off.","Reviewed in the United Kingdom on 9 January 2024"
"4","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Amazon Customer","nice and easy to get up and running","Reviewed in the United Kingdom on 5 January 2024"
"5","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Ophiana73","Great price and easy to install","Reviewed in the United Kingdom on 16 January 2024"
"6","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Davy H","great  buy","Reviewed in the United Kingdom on 26 January 2024"
"7","Three Barrels Rare Old French Brandy VSOP, 70cl","4.0 out of 5 stars","Verified Purchase","Martin C.","Great price and have now used Kaspersky for 4 years with no problems . Noe always buy 2 years","Reviewed in the United Kingdom on 22 January 2024"
"8","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Peter Appleby","Absolutely dreadful.  I am completely at a loss with this. Have used Kaspersky for many years.  Never again after this.Support from Kaspersky if you can get past the virtual help is usually  good , but so far im not loving the lack of help.Buy a different product.I have downloaded required details but am only able to use the free version. The product is useless to me.","Reviewed in the United Kingdom on 20 January 2024"
"9","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Buyer X1X","I stopped buying this due to the war.","Reviewed in the United Kingdom on 27 December 2023"
"10","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Steve from Mundesley","This is an exceptional virus product which I have installed on my pc for several years and can’t fault. Previously I had another well known software product on a pc and wasn’t happy because it appeared to slow everything down but Kaspersky has never been a problem.","Reviewed in the United Kingdom on 20 January 2024"
"11","Three Barrels Rare Old French Brandy VSOP, 70cl","4.7 out of 5 stars","Verified Purchase","Amazon Customer","Have used Kaspersky security year on year and my devices have had perfect protection. Great value for money and easy to install using the code purchased, never experienced any problems.","Reviewed in the United Kingdom on 9 January 2024"
"12","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","BJ","Always get it from Amazon. Never auto renewal or purchase directly from Kaspersky as they always charge you more","Reviewed in the United Kingdom on 16 December 2023"
"13","Three Barrels Rare Old French Brandy VSOP, 70cl","3.0 out of 5 stars","Verified Purchase","Amazon Customer","Kaspersky total security is my favourite of the all in one security packages and this is my 4th year using it. Always uninstall and buy digitally from amazon - it’s about 1/3 the price of renewing.Not much has changed this year - same great product with a slightly (very slightly) updated user interface. New this year so far seems to be an improved software updater that’s a nice touch.Reason I use this is that It regularly scores highest on malware tests, and as a bonus comes with actually useful tools like webcam blocker, the update checker, privacy and security optimisation browser plug-ins and such, and is very light on system resources - I don’t need to turn it off to game for example. I’ve bought a couple of computers that have come with trials of norton or trend micro and the just feel sub par by comparison.Minus 1 star from a perfect 5 for continuing to bundle kaspersky’s overpriced VPN software trial, and dumb region locking. The VPN can be removed post install by searching ‘add or remove programs’, but the region locking seemed particularly lazy.I didn’t notice when I bought this that it was UK only - that’s my bad, it says right on the page - but kaspersky’s enforcement is very lazy. I’m currently in Australia, but bought from the UK as my kaspersky account and payment card are still UK-based. It let me activate that serial fine (so no refund possibility) but then wouldn’t activate the software once downloaded even though the last one worked fine until the day before lol. They know my account, my history, my hardware, etc. it should work better. However all good as activated fine when using a VPN and no problems since with the VPN turned off.","Reviewed in the United Kingdom on 9 January 2024"
"14","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Amazon Customer","nice and easy to get up and running","Reviewed in the United Kingdom on 5 January 2024"
"15","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Ophiana73","Great price and easy to install","Reviewed in the United Kingdom on 16 January 2024"
"16","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Davy H","great  buy","Reviewed in the United Kingdom on 26 January 2024"
"17","Three Barrels Rare Old French Brandy VSOP, 70cl","4.0 out of 5 stars","Verified Purchase","Martin C.","Great price and have now used Kaspersky for 4 years with no problems . Noe always buy 2 years","Reviewed in the United Kingdom on 22 January 2024"
"18","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Peter Appleby","Absolutely dreadful.  I am completely at a loss with this. Have used Kaspersky for many years.  Never again after this.Support from Kaspersky if you can get past the virtual help is usually  good , but so far im not loving the lack of help.Buy a different product.I have downloaded required details but am only able to use the free version. The product is useless to me.","Reviewed in the United Kingdom on 20 January 2024"
"19","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Buyer X1X","I stopped buying this due to the war.","Reviewed in the United Kingdom on 27 December 2023"
"20","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Steve from Mundesley","This is an exceptional virus product which I have installed on my pc for several years and can’t fault. Previously I had another well known software product on a pc and wasn’t happy because it appeared to slow everything down but Kaspersky has never been a problem.","Reviewed in the United Kingdom on 20 January 2024"
"21","Three Barrels Rare Old French Brandy VSOP, 70cl","4.7 out of 5 stars","Verified Purchase","Amazon Customer","Have used Kaspersky security year on year and my devices have had perfect protection. Great value for money and easy to install using the code purchased, never experienced any problems.","Reviewed in the United Kingdom on 9 January 2024"
"22","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","BJ","Always get it from Amazon. Never auto renewal or purchase directly from Kaspersky as they always charge you more","Reviewed in the United Kingdom on 16 December 2023"
"23","Three Barrels Rare Old French Brandy VSOP, 70cl","3.0 out of 5 stars","Verified Purchase","Amazon Customer","Kaspersky total security is my favourite of the all in one security packages and this is my 4th year using it. Always uninstall and buy digitally from amazon - it’s about 1/3 the price of renewing.Not much has changed this year - same great product with a slightly (very slightly) updated user interface. New this year so far seems to be an improved software updater that’s a nice touch.Reason I use this is that It regularly scores highest on malware tests, and as a bonus comes with actually useful tools like webcam blocker, the update checker, privacy and security optimisation browser plug-ins and such, and is very light on system resources - I don’t need to turn it off to game for example. I’ve bought a couple of computers that have come with trials of norton or trend micro and the just feel sub par by comparison.Minus 1 star from a perfect 5 for continuing to bundle kaspersky’s overpriced VPN software trial, and dumb region locking. The VPN can be removed post install by searching ‘add or remove programs’, but the region locking seemed particularly lazy.I didn’t notice when I bought this that it was UK only - that’s my bad, it says right on the page - but kaspersky’s enforcement is very lazy. I’m currently in Australia, but bought from the UK as my kaspersky account and payment card are still UK-based. It let me activate that serial fine (so no refund possibility) but then wouldn’t activate the software once downloaded even though the last one worked fine until the day before lol. They know my account, my history, my hardware, etc. it should work better. However all good as activated fine when using a VPN and no problems since with the VPN turned off.","Reviewed in the United Kingdom on 9 January 2024"
"24","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Amazon Customer","nice and easy to get up and running","Reviewed in the United Kingdom on 5 January 2024"
"25","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Ophiana73","Great price and easy to install","Reviewed in the United Kingdom on 16 January 2024"
"26","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Davy H","great  buy","Reviewed in the United Kingdom on 26 January 2024"
"27","Three Barrels Rare Old French Brandy VSOP, 70cl","4.0 out of 5 stars","Verified Purchase","Martin C.","Great price and have now used Kaspersky for 4 years with no problems . Noe always buy 2 years","Reviewed in the United Kingdom on 22 January 2024"
"28","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Peter Appleby","Absolutely dreadful.  I am completely at a loss with this. Have used Kaspersky for many years.  Never again after this.Support from Kaspersky if you can get past the virtual help is usually  good , but so far im not loving the lack of help.Buy a different product.I have downloaded required details but am only able to use the free version. The product is useless to me.","Reviewed in the United Kingdom on 20 January 2024"
"29","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Buyer X1X","I stopped buying this due to the war.","Reviewed in the United Kingdom on 27 December 2023"
"30","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Steve from Mundesley","This is an exceptional virus product which I have installed on my pc for several years and can’t fault. Previously I had another well known software product on a pc and wasn’t happy because it appeared to slow everything down but Kaspersky has never been a problem.","Reviewed in the United Kingdom on 20 January 2024"
"31","Three Barrels Rare Old French Brandy VSOP, 70cl","4.7 out of 5 stars","Verified Purchase","Amazon Customer","Have used Kaspersky security year on year and my devices have had perfect protection. Great value for money and easy to install using the code purchased, never experienced any problems.","Reviewed in the United Kingdom on 9 January 2024"
"32","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","BJ","Always get it from Amazon. Never auto renewal or purchase directly from Kaspersky as they always charge you more","Reviewed in the United Kingdom on 16 December 2023"
"33","Three Barrels Rare Old French Brandy VSOP, 70cl","3.0 out of 5 stars","Verified Purchase","Amazon Customer","Kaspersky total security is my favourite of the all in one security packages and this is my 4th year using it. Always uninstall and buy digitally from amazon - it’s about 1/3 the price of renewing.Not much has changed this year - same great product with a slightly (very slightly) updated user interface. New this year so far seems to be an improved software updater that’s a nice touch.Reason I use this is that It regularly scores highest on malware tests, and as a bonus comes with actually useful tools like webcam blocker, the update checker, privacy and security optimisation browser plug-ins and such, and is very light on system resources - I don’t need to turn it off to game for example. I’ve bought a couple of computers that have come with trials of norton or trend micro and the just feel sub par by comparison.Minus 1 star from a perfect 5 for continuing to bundle kaspersky’s overpriced VPN software trial, and dumb region locking. The VPN can be removed post install by searching ‘add or remove programs’, but the region locking seemed particularly lazy.I didn’t notice when I bought this that it was UK only - that’s my bad, it says right on the page - but kaspersky’s enforcement is very lazy. I’m currently in Australia, but bought from the UK as my kaspersky account and payment card are still UK-based. It let me activate that serial fine (so no refund possibility) but then wouldn’t activate the software once downloaded even though the last one worked fine until the day before lol. They know my account, my history, my hardware, etc. it should work better. However all good as activated fine when using a VPN and no problems since with the VPN turned off.","Reviewed in the United Kingdom on 9 January 2024"
"34","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Amazon Customer","nice and easy to get up and running","Reviewed in the United Kingdom on 5 January 2024"
"35","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Ophiana73","Great price and easy to install","Reviewed in the United Kingdom on 16 January 2024"
"36","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Davy H","great  buy","Reviewed in the United Kingdom on 26 January 2024"
"37","Three Barrels Rare Old French Brandy VSOP, 70cl","4.0 out of 5 stars","Verified Purchase","Martin C.","Great price and have now used Kaspersky for 4 years with no problems . Noe always buy 2 years","Reviewed in the United Kingdom on 22 January 2024"
"38","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Peter Appleby","Absolutely dreadful.  I am completely at a loss with this. Have used Kaspersky for many years.  Never again after this.Support from Kaspersky if you can get past the virtual help is usually  good , but so far im not loving the lack of help.Buy a different product.I have downloaded required details but am only able to use the free version. The product is useless to me.","Reviewed in the United Kingdom on 20 January 2024"
"39","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Buyer X1X","I stopped buying this due to the war.","Reviewed in the United Kingdom on 27 December 2023"
"40","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Steve from Mundesley","This is an exceptional virus product which I have installed on my pc for several years and can’t fault. Previously I had another well known software product on a pc and wasn’t happy because it appeared to slow everything down but Kaspersky has never been a problem.","Reviewed in the United Kingdom on 20 January 2024"
"41","Three Barrels Rare Old French Brandy VSOP, 70cl","4.7 out of 5 stars","Verified Purchase","Amazon Customer","Have used Kaspersky security year on year and my devices have had perfect protection. Great value for money and easy to install using the code purchased, never experienced any problems.","Reviewed in the United Kingdom on 9 January 2024"
"42","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","BJ","Always get it from Amazon. Never auto renewal or purchase directly from Kaspersky as they always charge you more","Reviewed in the United Kingdom on 16 December 2023"
"43","Three Barrels Rare Old French Brandy VSOP, 70cl","3.0 out of 5 stars","Verified Purchase","Amazon Customer","Kaspersky total security is my favourite of the all in one security packages and this is my 4th year using it. Always uninstall and buy digitally from amazon - it’s about 1/3 the price of renewing.Not much has changed this year - same great product with a slightly (very slightly) updated user interface. New this year so far seems to be an improved software updater that’s a nice touch.Reason I use this is that It regularly scores highest on malware tests, and as a bonus comes with actually useful tools like webcam blocker, the update checker, privacy and security optimisation browser plug-ins and such, and is very light on system resources - I don’t need to turn it off to game for example. I’ve bought a couple of computers that have come with trials of norton or trend micro and the just feel sub par by comparison.Minus 1 star from a perfect 5 for continuing to bundle kaspersky’s overpriced VPN software trial, and dumb region locking. The VPN can be removed post install by searching ‘add or remove programs’, but the region locking seemed particularly lazy.I didn’t notice when I bought this that it was UK only - that’s my bad, it says right on the page - but kaspersky’s enforcement is very lazy. I’m currently in Australia, but bought from the UK as my kaspersky account and payment card are still UK-based. It let me activate that serial fine (so no refund possibility) but then wouldn’t activate the software once downloaded even though the last one worked fine until the day before lol. They know my account, my history, my hardware, etc. it should work better. However all good as activated fine when using a VPN and no problems since with the VPN turned off.","Reviewed in the United Kingdom on 9 January 2024"
"44","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Amazon Customer","nice and easy to get up and running","Reviewed in the United Kingdom on 5 January 2024"
"45","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Ophiana73","Great price and easy to install","Reviewed in the United Kingdom on 16 January 2024"
"46","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Davy H","great  buy","Reviewed in the United Kingdom on 26 January 2024"
"47","Three Barrels Rare Old French Brandy VSOP, 70cl","4.0 out of 5 stars","Verified Purchase","Martin C.","Great price and have now used Kaspersky for 4 years with no problems . Noe always buy 2 years","Reviewed in the United Kingdom on 22 January 2024"
