"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"24","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","littlewal","A game for all ages. My grandson who is 4 played it and my dad in his 70s played it as well. Great , simple, family fun.","Reviewed in the United Kingdom on 5 January 2024"
"25","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Apricot Marmalade","This is a game enjoyed by all the family. Portable and ideal for taking on holiday. It produces fits of laughter, is easily learned, and enjoyed by all ages from 6 to 86.","Reviewed in the United Kingdom on 8 February 2024"
"26","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Suzanne gaughran","This is such a fun game to play! It's funny and easy to learn. Probably one of the most used christmas gifts for us so far.","Reviewed in the United Kingdom on 20 January 2024"
"27","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","comphil","This game has been so much fun for all the family. We have played it in smaller groups of 4 and as larger groups of 8+.Very easy to learn and lots of fun.","Reviewed in the United Kingdom on 19 January 2024"
"28","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","4.0 out of 5 stars","Verified Purchase","kerry","Bought for my nephews 11th birthday.  Absolutely hilarious, crazy manic fun for all of us, ages 11, 16, 40, 41 and 53! Highly recommended if you don’t mind crying with laughter!","Reviewed in the United Kingdom on 14 January 2024"
"29","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Mrs Abell","This game is brilliant! And such good fun, impossible not to love it.  Enjoyed by all the family, from kids to grandparents. Our friends played this with us in the pub and ordered it there and then for themselves.","Reviewed in the United Kingdom on 15 February 2024"
"30","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Alexandra Allybong","Bought as a gift, age ranged from 7 upwards all enjoy playing this game.Playability is great and when adding in the actions adds a lot more lol’s","Reviewed in the United Kingdom on 10 February 2024"
"31","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","4.7 out of 5 stars","Verified Purchase","Nadia","It’s like the new dobble! Fun, silly, inclusive and easy to learn and play. Great for all ages :-)","Reviewed in the United Kingdom on 22 February 2024"
"32","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","CalMike","This is a hilarious game of speed and skill, as well as taxing your brain.  It is easy to learn, and can be played with 2 or more people.  I would say it would suit all ages from 5+.  Brilliant present for anyone of any age, I can guarantee you will have a lot of laughs and enjoyment.","Reviewed in the United Kingdom on 14 February 2023"
"33","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","3.0 out of 5 stars","Verified Purchase","Nadia","So glad I bought this! Loads of fun for all ages- easy to pick up the rules and perfect for taking on holidays too. A simple idea but quite addictive and great for a quick time filler.","Reviewed in the United Kingdom on 22 February 2024"
"34","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","littlewal","A game for all ages. My grandson who is 4 played it and my dad in his 70s played it as well. Great , simple, family fun.","Reviewed in the United Kingdom on 5 January 2024"
"35","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Apricot Marmalade","This is a game enjoyed by all the family. Portable and ideal for taking on holiday. It produces fits of laughter, is easily learned, and enjoyed by all ages from 6 to 86.","Reviewed in the United Kingdom on 8 February 2024"
"36","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Suzanne gaughran","This is such a fun game to play! It's funny and easy to learn. Probably one of the most used christmas gifts for us so far.","Reviewed in the United Kingdom on 20 January 2024"
"37","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","comphil","This game has been so much fun for all the family. We have played it in smaller groups of 4 and as larger groups of 8+.Very easy to learn and lots of fun.","Reviewed in the United Kingdom on 19 January 2024"
"38","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","4.0 out of 5 stars","Verified Purchase","kerry","Bought for my nephews 11th birthday.  Absolutely hilarious, crazy manic fun for all of us, ages 11, 16, 40, 41 and 53! Highly recommended if you don’t mind crying with laughter!","Reviewed in the United Kingdom on 14 January 2024"
"39","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Mrs Abell","This game is brilliant! And such good fun, impossible not to love it.  Enjoyed by all the family, from kids to grandparents. Our friends played this with us in the pub and ordered it there and then for themselves.","Reviewed in the United Kingdom on 15 February 2024"
"40","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Alexandra Allybong","Bought as a gift, age ranged from 7 upwards all enjoy playing this game.Playability is great and when adding in the actions adds a lot more lol’s","Reviewed in the United Kingdom on 10 February 2024"
"41","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","4.7 out of 5 stars","Verified Purchase","Nadia","It’s like the new dobble! Fun, silly, inclusive and easy to learn and play. Great for all ages :-)","Reviewed in the United Kingdom on 22 February 2024"
"42","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","CalMike","This is a hilarious game of speed and skill, as well as taxing your brain.  It is easy to learn, and can be played with 2 or more people.  I would say it would suit all ages from 5+.  Brilliant present for anyone of any age, I can guarantee you will have a lot of laughs and enjoyment.","Reviewed in the United Kingdom on 14 February 2023"
"43","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","3.0 out of 5 stars","Verified Purchase","Nadia","So glad I bought this! Loads of fun for all ages- easy to pick up the rules and perfect for taking on holidays too. A simple idea but quite addictive and great for a quick time filler.","Reviewed in the United Kingdom on 22 February 2024"
"44","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","littlewal","A game for all ages. My grandson who is 4 played it and my dad in his 70s played it as well. Great , simple, family fun.","Reviewed in the United Kingdom on 5 January 2024"
"45","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Apricot Marmalade","This is a game enjoyed by all the family. Portable and ideal for taking on holiday. It produces fits of laughter, is easily learned, and enjoyed by all ages from 6 to 86.","Reviewed in the United Kingdom on 8 February 2024"
"46","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Suzanne gaughran","This is such a fun game to play! It's funny and easy to learn. Probably one of the most used christmas gifts for us so far.","Reviewed in the United Kingdom on 20 January 2024"
"47","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","comphil","This game has been so much fun for all the family. We have played it in smaller groups of 4 and as larger groups of 8+.Very easy to learn and lots of fun.","Reviewed in the United Kingdom on 19 January 2024"
"48","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","4.0 out of 5 stars","Verified Purchase","kerry","Bought for my nephews 11th birthday.  Absolutely hilarious, crazy manic fun for all of us, ages 11, 16, 40, 41 and 53! Highly recommended if you don’t mind crying with laughter!","Reviewed in the United Kingdom on 14 January 2024"
"49","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Mrs Abell","This game is brilliant! And such good fun, impossible not to love it.  Enjoyed by all the family, from kids to grandparents. Our friends played this with us in the pub and ordered it there and then for themselves.","Reviewed in the United Kingdom on 15 February 2024"
"50","Blue Orange | Taco Cat Goat Cheese Pizza | Card Game | Ages 8+ | 2-8 Players | 10-30 Minute Playing Time","5.0 out of 5 stars","Verified Purchase","Alexandra Allybong","Bought as a gift, age ranged from 7 upwards all enjoy playing this game.Playability is great and when adding in the actions adds a lot more lol’s","Reviewed in the United Kingdom on 10 February 2024"
