"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","4.8 out of 5 stars","Verified Purchase","David","Tasty.","Reviewed in the United Kingdom on 20 February 2024"
"2","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","5.0 out of 5 stars","Verified Purchase","Kenneth","I purchased this for my Father. His favourite whisky. Boxed so looks nice too. Only 70cl not 1 litre but good for the price.","Reviewed in the United Kingdom on 17 June 2020"
"3","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","3.0 out of 5 stars","Verified Purchase","David","Hubby really enjoyed this! Delivery was quick","Reviewed in the United Kingdom on 20 February 2024"
"4","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","5.0 out of 5 stars","Verified Purchase","JohnN","A great value 10-year-old single malt. Perfect for day-to-day drinking.","Reviewed in the United Kingdom on 29 December 2023"
"5","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","5.0 out of 5 stars","Verified Purchase","Terry mclean","Smooth and distinctive! Quality whiskey!","Reviewed in the United Kingdom on 5 February 2024"
"6","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","5.0 out of 5 stars","Verified Purchase","David C","Great taste. Smooth and flavoursome. Nice bottle gourd colour. Great gift.","Reviewed in the United Kingdom on 20 January 2024"
"7","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","5.0 out of 5 stars","Verified Purchase","Amazon Customer","Recipient was vey happy, liked the brand.  Good online price","Reviewed in the United Kingdom on 28 December 2023"
"8","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","5.0 out of 5 stars","Verified Purchase","Glenise Daniels","Great gift.","Reviewed in the United Kingdom on 17 November 2023"
"9","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","4.0 out of 5 stars","Verified Purchase","Dorset Rob","if you like a sweet scotch - this is the oneprice wise - they manage to keep the price high; we need competition in the scotch whisky arena; equivalent quality brandy can be near half the price and vodka cheap as chips","Reviewed in the United Kingdom on 3 January 2024"
"10","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","5.0 out of 5 stars","Verified Purchase","Miss R.","Good one","Reviewed in the United Kingdom on 3 January 2024"
"11","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","4.8 out of 5 stars","Verified Purchase","David","Tasty.","Reviewed in the United Kingdom on 20 February 2024"
"12","Glenmorangie The Original 10 Years Old Single Makt Whisky, Gift Box, 70cl","5.0 out of 5 stars","Verified Purchase","Kenneth","I purchased this for my Father. His favourite whisky. Boxed so looks nice too. Only 70cl not 1 litre but good for the price.","Reviewed in the United Kingdom on 17 June 2020"
