"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","Waddingtons Number 1 Playing Card Game, play with the classic Red and Blue Twin Pack, great travel companion, gift and toy for Boys, Girls and adults.","4.7 out of 5 stars","Verified Purchase","E B","Best quality cards out there and always have been in my opinion. Reasonable price and fast delivery.","Reviewed in the United Kingdom on 22 February 2024"
"2","Waddingtons Number 1 Playing Card Game, play with the classic Red and Blue Twin Pack, great travel companion, gift and toy for Boys, Girls and adults.","5.0 out of 5 stars","Verified Purchase","Faisal A.","Over the years I've bought loads of playing cards but these I keep going back to buy.","Reviewed in the United Kingdom on 8 January 2024"
"3","Waddingtons Number 1 Playing Card Game, play with the classic Red and Blue Twin Pack, great travel companion, gift and toy for Boys, Girls and adults.","3.0 out of 5 stars","Verified Purchase","E B","Good decent dual pack of playing card","Reviewed in the United Kingdom on 22 February 2024"
"4","Waddingtons Number 1 Playing Card Game, play with the classic Red and Blue Twin Pack, great travel companion, gift and toy for Boys, Girls and adults.","5.0 out of 5 stars","Verified Purchase","bj66","Cheap and cheerful but does the job just as well as more expensive cards.Pity they are no longer made in the uk.","Reviewed in the United Kingdom on 24 February 2024"
"5","Waddingtons Number 1 Playing Card Game, play with the classic Red and Blue Twin Pack, great travel companion, gift and toy for Boys, Girls and adults.","5.0 out of 5 stars","Verified Purchase","matt","Great cards, take them on trips and use regularly at home.","Reviewed in the United Kingdom on 23 December 2023"
"6","Waddingtons Number 1 Playing Card Game, play with the classic Red and Blue Twin Pack, great travel companion, gift and toy for Boys, Girls and adults.","5.0 out of 5 stars","Verified Purchase","James McCormack","I like it","Reviewed in the United Kingdom on 28 December 2023"
"7","Waddingtons Number 1 Playing Card Game, play with the classic Red and Blue Twin Pack, great travel companion, gift and toy for Boys, Girls and adults.","4.0 out of 5 stars","Verified Purchase","Jo Wilson","They are OK, and good to play with.","Reviewed in the United Kingdom on 27 January 2024"
"8","Waddingtons Number 1 Playing Card Game, play with the classic Red and Blue Twin Pack, great travel companion, gift and toy for Boys, Girls and adults.","5.0 out of 5 stars","Verified Purchase","Iwa Ryba","Good cardboard quality. Sealed inside the inner box and sealed outer box so can you professionally if needed.","Reviewed in the United Kingdom on 15 January 2024"
"9","Waddingtons Number 1 Playing Card Game, play with the classic Red and Blue Twin Pack, great travel companion, gift and toy for Boys, Girls and adults.","5.0 out of 5 stars","Verified Purchase","Martin. Carley",".","Reviewed in the United Kingdom on 24 January 2024"
"10","Waddingtons Number 1 Playing Card Game, play with the classic Red and Blue Twin Pack, great travel companion, gift and toy for Boys, Girls and adults.","5.0 out of 5 stars","Verified Purchase","Amazon Customer","VGC value for money","Reviewed in the United Kingdom on 7 January 2024"
