"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","4.5 out of 5 stars","Verified Purchase","C. M. Donaldson","Especially in these days of the cost-of-living crisis, these loo rolls are a reasonable grade and are absorbent without being either too thick or too thin - good quality and great value for money. I would buy them again.","Reviewed in the United Kingdom on 27 February 2024"
"2","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","Cassandra Tang","Really nice and soft - great for other uses too as doesn't  shed - the offer was good, next day delivery and saves me having to push a trolley as I have a back injury! Will purchase again.","Reviewed in the United Kingdom on 22 February 2024"
"3","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","3.0 out of 5 stars","Verified Purchase","C. M. Donaldson","These are really good and was on offer so good value for money but not quite as good as cushelle","Reviewed in the United Kingdom on 27 February 2024"
"4","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","PaulnCarol","This toilet roll is value for money l will be ordering it again","Reviewed in the United Kingdom on 15 February 2024"
"5","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","Kathryn Yates","Excellent product, rolls slightly smaller than I usually buy, but lovely and soft, will carry-on buying","Reviewed in the United Kingdom on 21 February 2024"
"6","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","4.0 out of 5 stars","Verified Purchase","Fiona Carter","Cost effective and good quality of toilet tissue.","Reviewed in the United Kingdom on 20 February 2024"
"7","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","Andrea Dunhill","Unfortunately, the sheets per rolls are significantly a lot less than other brands that I've purchased from. So in the end, it does not work out any cheaper even with more rolls. Also seems like they've avoided mentioning sheets per roll in the product description.","Reviewed in the United Kingdom on 24 February 2024"
"8","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","Kauser Shah","Got these as it worked out cheaper than buying from the shop for my large family. Great value and nice toilet rolls","Reviewed in the United Kingdom on 17 February 2024"
"9","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","Cassandra Tang","Decent quality but I personally would prefer if the rolls were larger. I still purchase frequently though","Reviewed in the United Kingdom on 22 February 2024"
"10","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","3.0 out of 5 stars","Verified Purchase","deborah","I use to get this years ago and it is thinner now but still does the job.","Reviewed in the United Kingdom on 26 February 2024"
"11","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","4.5 out of 5 stars","Verified Purchase","C. M. Donaldson","Especially in these days of the cost-of-living crisis, these loo rolls are a reasonable grade and are absorbent without being either too thick or too thin - good quality and great value for money. I would buy them again.","Reviewed in the United Kingdom on 27 February 2024"
"12","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","Cassandra Tang","Really nice and soft - great for other uses too as doesn't  shed - the offer was good, next day delivery and saves me having to push a trolley as I have a back injury! Will purchase again.","Reviewed in the United Kingdom on 22 February 2024"
"13","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","3.0 out of 5 stars","Verified Purchase","C. M. Donaldson","These are really good and was on offer so good value for money but not quite as good as cushelle","Reviewed in the United Kingdom on 27 February 2024"
"14","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","PaulnCarol","This toilet roll is value for money l will be ordering it again","Reviewed in the United Kingdom on 15 February 2024"
"15","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","Kathryn Yates","Excellent product, rolls slightly smaller than I usually buy, but lovely and soft, will carry-on buying","Reviewed in the United Kingdom on 21 February 2024"
"16","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","4.0 out of 5 stars","Verified Purchase","Fiona Carter","Cost effective and good quality of toilet tissue.","Reviewed in the United Kingdom on 20 February 2024"
"17","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","Andrea Dunhill","Unfortunately, the sheets per rolls are significantly a lot less than other brands that I've purchased from. So in the end, it does not work out any cheaper even with more rolls. Also seems like they've avoided mentioning sheets per roll in the product description.","Reviewed in the United Kingdom on 24 February 2024"
"18","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","Kauser Shah","Got these as it worked out cheaper than buying from the shop for my large family. Great value and nice toilet rolls","Reviewed in the United Kingdom on 17 February 2024"
"19","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","Cassandra Tang","Decent quality but I personally would prefer if the rolls were larger. I still purchase frequently though","Reviewed in the United Kingdom on 22 February 2024"
"20","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","3.0 out of 5 stars","Verified Purchase","deborah","I use to get this years ago and it is thinner now but still does the job.","Reviewed in the United Kingdom on 26 February 2024"
"21","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","4.5 out of 5 stars","Verified Purchase","C. M. Donaldson","Especially in these days of the cost-of-living crisis, these loo rolls are a reasonable grade and are absorbent without being either too thick or too thin - good quality and great value for money. I would buy them again.","Reviewed in the United Kingdom on 27 February 2024"
"22","Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White","5.0 out of 5 stars","Verified Purchase","Cassandra Tang","Really nice and soft - great for other uses too as doesn't  shed - the offer was good, next day delivery and saves me having to push a trolley as I have a back injury! Will purchase again.","Reviewed in the United Kingdom on 22 February 2024"
