"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","Three Barrels Rare Old French Brandy VSOP, 70cl","4.7 out of 5 stars","Verified Purchase","Amazon Customer","Love this and a very good price.","Reviewed in the United Kingdom on 9 January 2024"
"2","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","BJ","Great drink. Great price!","Reviewed in the United Kingdom on 16 December 2023"
"3","Three Barrels Rare Old French Brandy VSOP, 70cl","3.0 out of 5 stars","Verified Purchase","Amazon Customer","I am really enjoying this Brandy in Chilled Decaff Coke. This is one of my favorite apart from Whisky Mac.Thanks for fast and friendly service. Thanks.","Reviewed in the United Kingdom on 9 January 2024"
"4","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Amazon Customer","Great value","Reviewed in the United Kingdom on 5 January 2024"
"5","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Ophiana73","Got this for Christmas cake and Christmas pudding tastes good as well","Reviewed in the United Kingdom on 16 January 2024"
"6","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Davy H","Cheaper than the shops","Reviewed in the United Kingdom on 26 January 2024"
"7","Three Barrels Rare Old French Brandy VSOP, 70cl","4.0 out of 5 stars","Verified Purchase","Martin C.","Goid delivery, nice item.","Reviewed in the United Kingdom on 22 January 2024"
"8","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Peter Appleby","This was advertised at a special price and what a bargain. Thanks","Reviewed in the United Kingdom on 20 January 2024"
"9","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Buyer X1X","Not much to say about this other than we always try and buy this brand as it has a really smooth taste for the cost.  Yes there are better brandy's out there, but for the price, you can't beat it","Reviewed in the United Kingdom on 27 December 2023"
"10","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Steve from Mundesley","Have been drinking this old French brandy for years and will contitinue to do so.","Reviewed in the United Kingdom on 20 January 2024"
"11","Three Barrels Rare Old French Brandy VSOP, 70cl","4.7 out of 5 stars","Verified Purchase","Amazon Customer","Love this and a very good price.","Reviewed in the United Kingdom on 9 January 2024"
"12","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","BJ","Great drink. Great price!","Reviewed in the United Kingdom on 16 December 2023"
"13","Three Barrels Rare Old French Brandy VSOP, 70cl","3.0 out of 5 stars","Verified Purchase","Amazon Customer","I am really enjoying this Brandy in Chilled Decaff Coke. This is one of my favorite apart from Whisky Mac.Thanks for fast and friendly service. Thanks.","Reviewed in the United Kingdom on 9 January 2024"
"14","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Amazon Customer","Great value","Reviewed in the United Kingdom on 5 January 2024"
"15","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Ophiana73","Got this for Christmas cake and Christmas pudding tastes good as well","Reviewed in the United Kingdom on 16 January 2024"
"16","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Davy H","Cheaper than the shops","Reviewed in the United Kingdom on 26 January 2024"
"17","Three Barrels Rare Old French Brandy VSOP, 70cl","4.0 out of 5 stars","Verified Purchase","Martin C.","Goid delivery, nice item.","Reviewed in the United Kingdom on 22 January 2024"
"18","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Peter Appleby","This was advertised at a special price and what a bargain. Thanks","Reviewed in the United Kingdom on 20 January 2024"
"19","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Buyer X1X","Not much to say about this other than we always try and buy this brand as it has a really smooth taste for the cost.  Yes there are better brandy's out there, but for the price, you can't beat it","Reviewed in the United Kingdom on 27 December 2023"
"20","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Steve from Mundesley","Have been drinking this old French brandy for years and will contitinue to do so.","Reviewed in the United Kingdom on 20 January 2024"
"21","Three Barrels Rare Old French Brandy VSOP, 70cl","4.7 out of 5 stars","Verified Purchase","Amazon Customer","Love this and a very good price.","Reviewed in the United Kingdom on 9 January 2024"
"22","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","BJ","Great drink. Great price!","Reviewed in the United Kingdom on 16 December 2023"
"23","Three Barrels Rare Old French Brandy VSOP, 70cl","3.0 out of 5 stars","Verified Purchase","Amazon Customer","I am really enjoying this Brandy in Chilled Decaff Coke. This is one of my favorite apart from Whisky Mac.Thanks for fast and friendly service. Thanks.","Reviewed in the United Kingdom on 9 January 2024"
"24","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Amazon Customer","Great value","Reviewed in the United Kingdom on 5 January 2024"
"25","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Ophiana73","Got this for Christmas cake and Christmas pudding tastes good as well","Reviewed in the United Kingdom on 16 January 2024"
"26","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Davy H","Cheaper than the shops","Reviewed in the United Kingdom on 26 January 2024"
"27","Three Barrels Rare Old French Brandy VSOP, 70cl","4.0 out of 5 stars","Verified Purchase","Martin C.","Goid delivery, nice item.","Reviewed in the United Kingdom on 22 January 2024"
"28","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Peter Appleby","This was advertised at a special price and what a bargain. Thanks","Reviewed in the United Kingdom on 20 January 2024"
"29","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Buyer X1X","Not much to say about this other than we always try and buy this brand as it has a really smooth taste for the cost.  Yes there are better brandy's out there, but for the price, you can't beat it","Reviewed in the United Kingdom on 27 December 2023"
"30","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Steve from Mundesley","Have been drinking this old French brandy for years and will contitinue to do so.","Reviewed in the United Kingdom on 20 January 2024"
"31","Three Barrels Rare Old French Brandy VSOP, 70cl","4.7 out of 5 stars","Verified Purchase","Amazon Customer","Love this and a very good price.","Reviewed in the United Kingdom on 9 January 2024"
"32","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","BJ","Great drink. Great price!","Reviewed in the United Kingdom on 16 December 2023"
"33","Three Barrels Rare Old French Brandy VSOP, 70cl","3.0 out of 5 stars","Verified Purchase","Amazon Customer","I am really enjoying this Brandy in Chilled Decaff Coke. This is one of my favorite apart from Whisky Mac.Thanks for fast and friendly service. Thanks.","Reviewed in the United Kingdom on 9 January 2024"
"34","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Amazon Customer","Great value","Reviewed in the United Kingdom on 5 January 2024"
"35","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Ophiana73","Got this for Christmas cake and Christmas pudding tastes good as well","Reviewed in the United Kingdom on 16 January 2024"
"36","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Davy H","Cheaper than the shops","Reviewed in the United Kingdom on 26 January 2024"
"37","Three Barrels Rare Old French Brandy VSOP, 70cl","4.0 out of 5 stars","Verified Purchase","Martin C.","Goid delivery, nice item.","Reviewed in the United Kingdom on 22 January 2024"
"38","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Peter Appleby","This was advertised at a special price and what a bargain. Thanks","Reviewed in the United Kingdom on 20 January 2024"
"39","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Buyer X1X","Not much to say about this other than we always try and buy this brand as it has a really smooth taste for the cost.  Yes there are better brandy's out there, but for the price, you can't beat it","Reviewed in the United Kingdom on 27 December 2023"
"40","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","Steve from Mundesley","Have been drinking this old French brandy for years and will contitinue to do so.","Reviewed in the United Kingdom on 20 January 2024"
"41","Three Barrels Rare Old French Brandy VSOP, 70cl","4.7 out of 5 stars","Verified Purchase","Amazon Customer","Love this and a very good price.","Reviewed in the United Kingdom on 9 January 2024"
"42","Three Barrels Rare Old French Brandy VSOP, 70cl","5.0 out of 5 stars","Verified Purchase","BJ","Great drink. Great price!","Reviewed in the United Kingdom on 16 December 2023"
